v1_x,v1_y,v1_z,v2_x,v2_y,v2_z,v1_idx,v2_idx
-0.30218,-12.7,-3.3415e-05,-0.50116,-12.498,-3.2535e-05,265,287
-5.6985,-12.897,-1.7484e-05,-5.8974,-12.711,-1.9151e-05,229,249
-5.9741,-16.697,-2.3961e-05,-5.9569,-16.49,-2.3743e-05,2,6
-5.5805,-8.9229,2.95,-5.5856,-8.7015,2.95,6097,6149
-5.1112,-6.6923,-5.9774e-06,-4.9146,-6.4986,-5.7404e-06,1092,1104
-7.2939,-9.4984,-7.6009e-06,-6.8956,-9.2965,-8.3237e-06,703,756
-6.2994,-8.3007,-5.9703e-06,-6.3038,-8.0993,-5.9927e-06,914,934
-11.614,-7.9469,1.3688,-11.588,-7.9382,1.2999,3782,3783
-6.4557,-16.454,0.29963,-6.4512,-16.282,0.68772,2515,2952
-4.1024,-15.305,-1.3707e-05,-3.9009,-15.299,-1.3474e-05,40,41
0.30493,-9.5069,-3.051e-05,0.5085,-9.5212,-2.9763e-05,726,727
-7.1883,-3.5151,2.95,-7.1878,-3.2921,2.95,6872,6900
-6.4493,-6.3118,2.4966,-6.4549,-5.8973,2.6872,4973,5170
0.69329,-7.7022,0.00011202,0.88752,-7.7009,0.00010302,2168,2169
-8.893,-3.2956,2.95,-8.8968,-3.1074,2.95,6891,6919
-6.4493,-3.9003,0.69107,-6.4491,-3.6996,0.69198,3192,3193
-1.506,-10.902,-2.8864e-05,-1.9022,-10.698,-2.7225e-05,473,493
-4.1014,-15.301,2.95,-3.9,-15.296,2.95,5254,5255
-3.5739,-13.031,2.7003,-3.5765,-12.896,2.8923,5015,5452
-3.6941,-15.305,2.95,-3.4993,-15.306,2.95,5256,5257
-3.3069,-3.5014,-1.4159e-05,-3.3038,-3.6599,1.6535e-07,1361,2309
-5.5104,-3.7108,-2.0205e-05,-5.5133,-3.5017,-2.7621e-05,1330,1350
-6.2988,-2.7032,-3.4325e-05,-6.2971,-2.6603,2.0953e-06,1435,2384
-5.0978,-10.495,-1.691e-05,-4.92,-10.502,-1.9883e-05,502,503
-1.302,-11.897,-2.9911e-05,-0.83177,-11.875,0.040839,353,1638
-8.0992,-9.4977,-7.1561e-06,-7.6948,-9.2997,-7.6606e-06,699,752
-4.5055,-15.282,-1.4271e-05,-4.3043,-15.292,-1.5612e-05,38,39
-3.3005,-3.4921,5.1612e-07,-3.1778,-3.4677,6.1989e-07,2326,2327
-3.501,-4.1044,-1.8815e-05,-3.3636,-4.0903,-1.9947e-05,1302,1303
-6.4463,-0.31348,0.10009,-6.4501,-0.32176,0.69117,2513,3221
-10.295,-9.707,-2.5238e-05,-10.098,-9.6979,-2.565e-05,628,629
-8.5004,-1.701,-2.2587e-05,-8.3019,-1.6976,-2.3284e-05,1546,1547
-2.3034,-7.303,-8.9878e-06,-2.1033,-7.3027,-8.901e-06,1012,1013
-11.883,-9.9555,1.9034,-11.882,-9.9555,2.1021,4315,4503
-6.2982,-3.3028,-3.3724e-05,-6.2995,-3.3118,7.2067e-07,1368,2329
-6.2465,-16.644,-2.319e-05,-6.0982,-16.698,-2.1572e-05,0,1
1.0879,-7.4841,8.7741e-05,1.2952,-7.4967,0.00010556,2197,2198
-2.7007,-9.1002,4.7451e-05,-2.5019,-9.0998,4.6929e-05,1897,1898
-1.3021,-9.6977,-2.6481e-05,-1.1031,-9.6977,-2.7025e-05,661,662
-4.3065,-7.4081,2.95,-4.0666,-7.4149,2.95,6421,6422
1.6904,-9.4991,0.0001087,1.8961,-9.4984,0.00010365,1833,1834
-1.9075,-9.1082,-2.3264e-05,-1.7075,-9.1265,-2.3845e-05,809,810
-0.29792,-7.4976,2.95,-0.099328,-7.5007,2.95,6441,6442
-11.881,-9.9326,-2.0591e-05,-11.686,-9.9181,-2.0758e-05,553,554
-3.9009,-15.299,-1.3474e-05,-3.7046,-15.298,-1.2115e-05,41,42
-1.3082,-7.3018,2.95,-1.1097,-7.3019,2.95,6481,6482
-4.7007,-4.896,-2.5526e-06,-4.5005,-4.8958,-2.5296e-06,1233,1234
-4.9342,-9.581,2.95,-4.6951,-9.5888,2.95,5933,5934
0.49921,-7.4905,2.95,0.69727,-7.4816,2.95,6445,6446
2.8888,-9.915,2.95,3.0972,-9.938,2.95,5841,5842
-3.18,-15.137,-2.7442e-05,-3.2848,-14.897,-1.9247e-05,63,80
-3.6207,-10.094,0.78841,-3.5385,-10.047,0.68487,3025,3026
-2.7014,-10.496,-2.4332e-05,-2.7035,-10.297,-2.3894e-05,511,528
-4.4942,-3.6482,1.6764e-07,-4.5003,-3.5067,4.2915e-07,2303,2320
-2.103,-9.6971,-2.412e-05,-1.9034,-9.6974,-2.4681e-05,657,658
-7.2951,-9.9567,2.2859,-7.0952,-9.9568,2.2835,4717,4718
-5.4969,-15.616,2.95,-5.2968,-15.61,2.95,5229,5230
-8.49,-9.5005,7.2161e-07,-8.3178,-9.5004,1.8951e-07,1809,1810
-7.6929,-9.4995,-7.2899e-06,-7.493,-9.499,-7.4678e-06,701,702
-4.0874,-3.6921,6.8775e-08,-3.9106,-3.6852,8.1129e-08,2305,2306
1.6912,-9.6985,0.00010902,1.8962,-9.7002,0.00010554,1789,1790
0.31394,-7.2851,-3.565e-06,0.49095,-7.308,-2.7242e-06,1025,1026
-0.50315,-7.3029,-8.2511e-06,-0.30096,-7.3018,-8.1736e-06,1021,1022
-6.0982,-16.698,-2.1572e-05,-5.9741,-16.697,-2.3961e-05,1,2
-2.5013,-8.3,4.8215e-05,-2.6999,-8.0999,4.9067e-05,2050,2090
1.2879,-9.0989,0.00010873,1.481,-9.1002,0.00010798,1917,1918
3.4282,-10.205,0.92209,3.4282,-10.206,1.1026,3295,3535
-10.691,-7.981,2.95,-10.504,-7.9889,2.95,6329,6330
-3.5336,-10.05,1.8899,-3.5725,-10.297,2.3002,4287,4655
2.676,-9.7913,-3.5286e-05,2.4841,-9.6992,0.00011528,681,1793
-1.7066,-7.881,-8.6462e-06,-1.5083,-7.8629,-8.5874e-06,953,954
-3.2812,-2.3073,1.0878e-06,-3.0999,-2.3035,1.3354e-06,2437,2438
0.88752,-7.7009,0.00010302,1.0907,-7.6995,0.00011091,2169,2170
-2.5025,-7.3035,2.9501,-2.3025,-7.3008,2.9501,6475,6476
-8.4952,-1.69,2.95,-8.2982,-1.6894,2.95,7115,7116
0.77153,-8.8322,0.83695,0.89406,-8.8877,0.85432,3379,3380
1.7065,-7.4989,2.9501,1.9141,-7.5006,2.9501,6451,6452
-5.502,-3.5201,3.6425e-07,-5.3016,-3.5174,4.1458e-07,2315,2316
-6.2958,-0.90694,2.95,-6.1523,-0.89629,2.95,7155,7156
-0.71615,-8.3011,4.3519e-05,-0.50384,-8.2993,4.296e-05,2059,2060
3.2938,-9.9413,-3.5947e-05,3.4906,-9.9581,-3.7405e-05,619,620
-8.5103,-8.173,2.95,-8.3079,-8.1823,2.95,6291,6292
-7.4423,-1.3586,2.95,-7.2936,-1.3037,2.95,7147,7148
0.49649,-8.499,0.00010759,0.69012,-8.5008,0.00011446,2027,2028
-2.3034,-10.698,-2.601e-05,-2.1031,-10.698,-2.6616e-05,491,492
-8.2858,-9.6983,-9.9462e-06,-8.3137,-9.6995,2.6746e-07,638,1766
2.4616,-9.7138,2.9501,2.7169,-9.7928,2.95,5907,5908
-4.702,-7.4111,2.95,-4.5003,-7.4099,2.95,6419,6420
0.10004,-7.3003,0.00011094,0.2916,-7.2991,0.00011058,2219,2220
3.3153,-9.9544,2.95,3.4941,-9.9764,2.95,5843,5844
-3.664,-10.146,-2.0761e-05,-3.5908,-10.109,-2.0775e-05,539,540
-6.2997,-2.9036,-3.4073e-05,-6.2988,-2.8941,1.565e-06,1413,2365
-9.1018,-8.2991,2.95,-8.9031,-8.299,2.95,6243,6244
-7.2942,-5.0997,2.95,-7.1871,-5.1027,2.95,6691,6692
2.533,-10.012,-3.4556e-05,2.71,-10.033,-3.3878e-05,547,548
-4.8976,-1.7029,2.95,-4.7026,-1.7022,2.95,7131,7132
-6.3075,-9.1126,-7.7063e-06,-6.1959,-9.0994,-6.1989e-06,803,804
0.11059,-9.9072,-2.9707e-05,0.2981,-9.8952,-2.9918e-05,603,604
-7.1886,-4.1036,2.95,-7.1891,-3.9062,2.95,6797,6821
-6.4548,-4.8998,2.7006,-6.4548,-4.6996,2.6995,5179,5180
-3.6656,-6.8651,-9.5229e-06,-3.5906,-6.9023,-9.5046e-06,1083,1084
-6.3019,-0.50473,-4.2015e-05,-6.1902,-0.54297,-1.4648e-05,1595,1596
-4.7034,-15.316,2.95,-4.5043,-15.312,2.95,5251,5252
1.2976,-7.7006,0.00010984,1.5045,-7.7009,0.00010617,2171,2172
-6.4497,-3.3031,0.69024,-6.449,-3.0975,0.69139,3195,3196
-6.4506,-0.32091,2.8855,-6.3037,-0.31091,2.95,7163,7164
-3.7004,-3.6662,1.3784e-07,-3.5006,-3.6636,1.4901e-07,2307,2308
-0.063586,-12.299,1.8998,-0.063585,-12.299,2.1003,4263,4452
-3.5727,-10.498,2.7,-3.5741,-10.699,2.8828,5048,5691
-3.2732,-2.687,1.2124e-06,-3.1034,-2.696,6.2967e-07,2399,2400
1.4929,-7.2954,2.95,1.7017,-7.2892,2.95,6495,6496
-6.4548,-4.0998,2.7,-6.4548,-3.8997,2.6997,5183,5184
2.0991,-9.6996,0.00011879,2.2926,-9.701,9.8582e-05,1791,1792
1.6878,-9.0992,0.00010858,1.8932,-9.1116,9.8769e-05,1919,1920
-6.1002,-1.7051,-3.6715e-05,-5.9285,-1.7113,-3.265e-05,1551,1552
0.10496,-8.2993,0.00011096,0.29572,-8.3004,0.00011052,2063,2064
-3.265,-7.265,-9.3143e-06,-3.1039,-7.3039,-9.2476e-06,1007,1008
-1.0923,-9.7004,4.2246e-05,-0.90583,-9.701,4.1747e-05,1775,1776
-5.0967,-15.604,2.95,-4.9729,-15.6,2.95,5231,5232
-1.1066,-7.6977,4.5511e-05,-0.90429,-7.6987,4.4969e-05,2159,2160
-4.497,-9.5858,2.95,-4.2977,-9.5829,2.95,5935,5936
0.89746,-7.4781,2.9501,1.0979,-7.4756,2.9501,6447,6448
-5.0988,-6.5016,-5.1538e-06,-4.9146,-6.4986,-5.7404e-06,1103,1104
-3.6226,-13.056,0.8709,-3.5753,-13.042,0.94608,3239,3240
-4.3043,-15.292,-1.5612e-05,-4.1024,-15.305,-1.3707e-05,39,40
-8.5067,-8.174,6.2704e-07,-8.3323,-8.1808,1.0837e-07,2087,2088
1.2912,-9.5003,0.0001092,1.4844,-9.5004,0.00010824,1831,1832
-0.69936,-7.4995,2.9501,-0.4958,-7.4928,2.95,6439,6440
0.5085,-9.5212,-2.9763e-05,0.69469,-9.5255,-3.0063e-05,727,728
-0.72226,-11.876,0.10335,-0.59484,-11.999,0.067522,1639,1640
-2.6993,-7.6999,4.9712e-05,-2.5011,-7.6993,4.9192e-05,2151,2152
-1.8963,-11.104,2.95,-1.7036,-11.099,2.95,5655,5656
-5.6962,-10.096,-1.1645e-05,-5.4961,-10.096,-1.1654e-05,535,536
-0.095837,-8.0993,0.00011081,0.10312,-8.0997,0.00011136,2103,2104
-11.474,-9.6991,-3.0831e-05,-11.45,-9.7017,9.4663e-06,622,1750
-7.8247,-4.628,2.95,-7.687,-4.6936,2.95,6727,6728
-6.4492,-4.101,0.69221,-6.4493,-3.9003,0.69107,3191,3192
0.49874,-7.6976,0.00010834,0.69329,-7.7022,0.00011202,2167,2168
-1.0997,-11.699,-3.0015e-05,-0.91229,-11.695,-3.0445e-05,375,376
-3.9,-15.296,2.95,-3.6941,-15.305,2.95,5255,5256
-6.296,-9.2982,-8.7106e-06,-6.146,-9.3345,-1.0956e-05,759,760
0.49995,-9.7,0.00010896,0.6959,-9.7,0.00011629,1783,1784
-6.2465,-16.644,-2.319e-05,-6.4557,-16.454,0.29963,0,2515
-3.2907,-15.295,2.95,-3.1813,-15.117,2.95,5258,5276
-6.4469,-5.687,0.69797,-6.4485,-5.4984,0.69918,3174,3177
-5.9569,-16.49,-2.3743e-05,-6.0946,-16.099,-2.198e-05,6,12
-7.1875,-4.696,2.95,-7.1906,-4.5012,2.95,6731,6752
-1.1097,-7.3019,2.95,-0.88197,-7.3001,2.9501,6482,6483
-2.704,-9.4962,-2.1854e-05,-2.7009,-9.5001,4.6804e-05,711,1811
-7.2936,-1.3037,2.95,-7.1846,-1.3186,2.95,7148,7149
-3.4385,-7.1174,-9.4152e-06,-3.3041,-7.1426,-9.3524e-06,1042,1043
-4.5049,-4.6872,-2.0862e-06,-4.2972,-4.7195,-2.1396e-06,1250,1251
-1.3163,-8.4998,4.4792e-05,-1.1082,-8.5004,4.425e-05,2018,2019
-6.4551,-10.099,1.9002,-6.4551,-10.099,2.0999,4286,4474
-6.4557,-16.282,2.099,-6.4557,-16.282,2.3022,4421,4604
-7.1871,-5.1027,2.95,-7.189,-4.8987,2.95,6692,6711
-1.7137,-10.712,-2.7834e-05,-1.9221,-10.53,-2.6746e-05,494,515
-7.0935,-9.9568,2.1001,-7.0952,-9.9568,2.2835,4527,4718
-3.5728,-10.295,0.49988,-3.5729,-10.295,0.68433,2795,3022
-6.0946,-16.099,-2.198e-05,-5.8982,-15.688,-2.033e-05,12,19
-1.9221,-10.53,-2.6746e-05,-2.3064,-10.301,-2.5035e-05,515,530
-0.26805,-8.3009,9.0969e-05,-0.095689,-8.2999,0.0001106,2061,2062
-7.4951,-9.2997,-7.7605e-06,-7.2964,-9.2983,-8.0368e-06,753,754
-11.31,-8.0979,2.95,-11.104,-8.1009,2.95,6285,6286
-2.9029,-9.9838,2.3664,-2.7046,-9.9838,2.3666,4721,4722
-8.1014,-1.6847,2.95,-7.8891,-1.6929,2.95,7117,7118
2.6958,-7.1262,-6.9737e-06,2.8934,-7.1147,-6.8784e-06,1073,1074
-3.6208,-10.294,0.78866,-3.5729,-10.295,0.68433,3021,3022
-5.4996,-4.9046,-3.0097e-06,-5.3182,-4.9065,-2.9566e-06,1229,1230
-3.5725,-10.297,2.5002,-3.5741,-10.498,2.8828,4858,5707
-6.4488,-8.0843,0.70014,-6.4234,-8.0846,0.89851,3113,3389
-5.2968,-15.61,2.95,-5.0967,-15.604,2.95,5230,5231
-6.4512,-16.282,0.68772,-6.4254,-16.282,0.90207,2952,3222
-3.6958,-12.295,2.95,-3.6979,-12.116,2.95,5513,5537
1.2703,-7.4156,-7.4704e-06,1.0879,-7.4841,8.7741e-05,1002,2197
-6.4557,-16.282,1.4987,-6.4557,-16.282,1.7004,3855,4041
-8.8928,-9.312,-2.7501e-05,-8.6796,-9.5006,1.3825e-06,746,1808
-6.1085,-15.908,2.95,-5.7057,-15.634,2.95,5223,5228
-5.5133,-3.5017,-2.7621e-05,-5.2878,-3.6829,3.8317e-08,1350,2299
-5.3091,-9.309,2.95,-5.5805,-8.9229,2.95,5992,6097
-5.6962,-9.8964,-1.1689e-05,-5.8962,-9.6963,-1.1721e-05,584,650
-8.2931,-9.2992,2.95,-8.2975,-9.0997,2.95,5985,6039
-3.4119,-8.3,2.9501,-3.4161,-8.0754,2.9501,6255,6299
-4.2989,-12.491,-2.7695e-05,-4.2996,-12.282,-2.718e-05,278,301
-3.5742,-11.696,2.8818,-3.5744,-11.492,2.8827,5586,5609
-8.2829,-3.0949,-4.2886e-05,-8.2998,-2.9024,-3.7943e-05,1388,1411
-3.3003,-9.986,1.1,-3.3003,-9.9861,1.3154,3590,3777
-11.883,-9.9555,0.69737,-11.883,-9.9555,0.89782,3054,3325
-6.4254,-16.282,0.90207,-6.4557,-16.282,1.2986,3222,3669
-5.8994,-3.5031,-3.2701e-05,-5.703,-3.4992,-3.1365e-05,1348,1349
3.1009,-10.076,-3.4988e-05,3.0971,-9.9305,-3.5073e-05,550,618
-3.5387,-10.048,0.49989,-3.5385,-10.047,0.68487,2798,3026
2.71,-10.033,-3.3878e-05,2.9066,-10.051,-3.5133e-05,548,549
-6.4551,-10.099,2.0999,-6.4399,-9.6984,2.3746,4474,4731
-6.2539,-16.653,2.95,-6.4508,-16.456,2.8879,5209,5211
1.2308,-8.3695,0.29461,1.044,-8.5904,0.59612,2639,2858
-6.4496,-4.5009,0.69079,-6.4492,-4.101,0.69221,3189,3191
-2.3034,-7.303,-8.9878e-06,-2.4953,-7.3062,4.9816e-05,1012,2206
-6.4969,-8.4999,-5.2561e-06,-6.4755,-8.3306,-5.3644e-06,894,913
-2.1057,-9.2998,4.5552e-05,-2.3032,-9.1002,4.6412e-05,1857,1899
-3.577,-4.8858,-6.8671e-06,-3.6885,-4.7087,-6.4188e-06,1239,1254
-6.4482,-8.2615,0.10018,-6.4551,-8.0844,0.50048,2049,2859
-3.7018,-5.3049,2.95,-3.7026,-5.0956,2.95,6688,6707
-5.8982,-15.688,-2.033e-05,-5.2983,-15.305,-1.5114e-05,19,34
-6.4546,-0.522,1.4988,-6.4546,-0.52408,1.7001,4040,4230
-3.9005,-4.7162,-2.1213e-06,-3.6885,-4.7087,-6.4188e-06,1253,1254
1.9039,-7.5004,0.00010537,2.1084,-7.5012,0.00011318,2201,2202
-6.2539,-16.653,2.95,-6.094,-16.692,2.95,5209,5210
0.8932,-9.5013,0.00010555,1.0984,-9.4992,0.00011329,1829,1830
-4.2964,-3.9007,-2.1996e-05,-4.0995,-3.9026,-2.2381e-05,1317,1318
-4.7045,-15.286,-1.4676e-05,-4.5055,-15.282,-1.4271e-05,37,38
-6.4399,-9.6984,2.3746,-6.4551,-9.4976,2.5006,4731,4920
-2.7028,-10.097,-2.3387e-05,-2.9038,-9.6962,-2.181e-05,544,653
-3.3009,-9.9863,1.8937,-3.3016,-9.9865,2.0997,4340,4528
-7.0935,-9.9568,1.0998,-7.0936,-9.9568,1.3003,3589,3776
-5.6988,-4.906,-2.9647e-06,-5.4996,-4.9046,-3.0097e-06,1228,1229
-1.3152,-7.9001,4.5755e-05,-1.1066,-7.6977,4.5511e-05,2131,2159
-0.50574,-7.6742,-8.2219e-06,-0.50441,-7.6995,4.393e-05,973,2162
-4.0997,-10.294,-2.2057e-05,-4.0105,-10.2,-2.1756e-05,523,537
-0.81726,-12.915,1.9024,-0.7015,-12.939,2.1007,4250,4440
-4.2977,-9.5829,2.95,-4.0764,-9.5773,2.95,5936,5937
-5.3182,-4.9065,-2.9566e-06,-5.1002,-4.9021,-2.5992e-06,1230,1231
-10.896,-9.8773,-2.4991e-05,-10.696,-9.725,-2.6049e-05,558,626
1.0979,-7.4756,2.9501,1.2838,-7.4867,2.9501,6448,6449
-2.3024,-7.9,4.8346e-05,-2.1046,-7.9001,4.7833e-05,2126,2127
-3.5775,-13.061,2.9052,-3.6777,-12.895,2.95,5436,5451
3.0926,-10.064,2.3562,3.0902,-9.9861,2.3656,4691,4729
-4.1007,-4.9077,-2.5233e-06,-4.2972,-4.7195,-2.1396e-06,1236,1251
-0.063439,-12.704,0.10433,-0.063435,-12.704,0.30488,1626,2541
-6.0971,-16.095,2.95,-6.1085,-15.908,2.95,5220,5223
-6.4557,-16.282,2.3022,-6.4557,-16.283,2.6977,4604,4998
-6.4557,-16.282,1.2986,-6.4557,-16.282,1.4987,3669,3855
-3.1813,-15.117,2.95,-3.2838,-14.898,2.95,5276,5293
-3.5744,-11.492,2.8827,-3.5742,-11.097,2.8828,5609,5654
1.2879,-9.0989,0.00010873,1.0935,-8.9355,0.00010982,1917,1959
-2.5036,-7.5014,2.9501,-2.1034,-7.5012,2.9501,6430,6432
-1.5024,-7.3021,-8.6003e-06,-1.5111,-7.3002,4.7246e-05,1016,2211
-6.4547,-3.5042,2.7006,-6.4547,-3.3031,2.6991,5186,5187
-3.4218,-8.9367,2.9501,-3.4106,-8.6948,2.9501,6098,6150
-5.6986,-5.3065,-3.5032e-06,-5.6985,-5.1078,-3.2468e-06,1196,1212
-1.4713,-12.073,-2.9747e-05,-1.302,-11.897,-2.9911e-05,329,353
-5.0979,-3.4943,-3.0211e-05,-5.0991,-3.5162,3.8354e-07,1352,2317
-3.5727,-10.498,2.4994,-3.5727,-10.498,2.7,4856,5048
-1.103,-9.2969,-2.6019e-05,-1.0918,-9.3014,4.2887e-05,770,1862
-0.53834,-11.541,0.049032,-0.55222,-11.534,0.35204,1649,2562
2.2874,-9.9907,0.29958,2.2873,-9.9908,0.49932,2632,2853
-8.7233,-9.7001,-2.1283e-05,-8.6824,-9.701,1.4624e-06,636,1764
0.89406,-8.8877,0.85432,1.1067,-8.8929,0.86778,3380,3381
-7.4414,-5.0515,2.95,-7.2942,-5.0997,2.95,6690,6691
-3.303,-9.8935,-2.1089e-05,-3.2619,-9.7378,-2.0818e-05,586,651
-2.5015,-8.5001,4.7891e-05,-2.3028,-8.4999,4.7379e-05,2012,2013
-5.2983,-15.305,-1.5114e-05,-5.0978,-15.299,-1.4905e-05,34,35
-2.2226,-11.221,-2.7493e-05,-2.0895,-11.289,-2.8085e-05,418,419
-8.2294,-8.1855,-2.3842e-07,-8.1142,-8.1912,-5.0664e-07,930,931
-3.2619,-9.7378,-2.0818e-05,-3.3002,-9.986,0.29986,651,2630
-4.5003,-7.4099,2.95,-4.3065,-7.4081,2.95,6420,6421
-3.6207,-10.094,0.78841,-3.622,-10.093,0.86349,3025,3296
-5.0978,-15.299,-1.4905e-05,-4.7045,-15.286,-1.4676e-05,35,37
-1.5053,-7.5017,2.95,-1.109,-7.502,2.95,6435,6437
3.4282,-10.206,1.6961,3.4282,-10.206,1.8986,4095,4285
-6.4494,-5.9002,0.69235,-6.4231,-6.3018,0.90306,3171,3441
-3.3002,-9.986,0.29986,-3.3002,-9.9859,0.49959,2630,2851
-7.9012,-8.7008,-1.085e-06,-7.705,-8.7002,-1.6538e-06,862,863
-3.4838,-13.905,-1.8244e-05,-3.3923,-13.951,-8.5036e-06,161,162
-8.103,-8.703,-5.1512e-07,-7.9012,-8.7008,-1.085e-06,861,862
-4.0764,-9.5773,2.95,-3.6927,-9.3074,2.95,5937,5993
-2.5032,-10.097,-2.3963e-05,-2.3667,-10.11,-2.4369e-05,545,546
0.099297,-9.4993,0.00011411,0.30058,-9.4999,0.00011138,1825,1826
-1.5117,-8.5003,4.5308e-05,-1.3163,-8.4998,4.4792e-05,2017,2018
-11.882,-9.9555,2.1021,-11.875,-9.9555,2.5003,4503,4894
-0.30096,-7.3018,-8.1736e-06,-0.27082,-7.2997,9.0878e-05,1022,2217
-8.8986,-9.6981,-2.3544e-05,-9.0823,-9.7002,2.6615e-06,635,1762
-11.104,-8.1009,2.95,-10.882,-8.0987,2.95,6286,6287
-10.896,-9.8773,-2.4991e-05,-11.084,-9.7195,-2.8307e-05,558,624
-10.098,-9.6979,-2.565e-05,-9.8964,-9.6986,-2.5602e-05,629,630
-6.4234,-8.0846,0.89851,-6.4551,-8.0869,1.3101,3389,3781
-3.4993,-15.306,2.95,-3.2907,-15.295,2.95,5257,5258
-4.8991,-3.5029,-3.0189e-05,-4.7018,-3.5012,-3.0189e-05,1353,1354
2.0996,-7.2806,8.0839e-05,2.2978,-7.2883,8.9586e-05,2229,2230
-10.696,-9.725,-2.6049e-05,-10.699,-9.6894,7.2947e-06,626,1754
-5.0979,-3.4943,-3.0211e-05,-4.8991,-3.5029,-3.0189e-05,1352,1353
-10.508,-9.1013,-3.0948e-05,-10.666,-9.0957,7.1228e-06,783,1884
-4.9005,-2.4872,-3.1141e-05,-4.8986,-2.3349,2.8563e-06,1463,2429
-9.0963,-9.6986,-2.3266e-05,-9.0823,-9.7002,2.6615e-06,634,1762
-3.702,-6.5041,2.95,-3.7018,-6.3053,2.95,6592,6608
-8.8928,-9.312,-2.7501e-05,-8.899,-9.0993,-3.067e-05,746,791
3.4282,-10.206,1.8986,3.4282,-10.206,2.1011,4285,4473
-1.3112,-9.1623,-2.5081e-05,-1.3024,-9.1005,4.3771e-05,812,1904
1.8979,-7.2832,7.1983e-05,2.0996,-7.2806,8.0839e-05,2228,2229
-4.7018,-3.5012,-3.0189e-05,-4.5044,-3.509,-3.0209e-05,1354,1355
-2.904,-7.5038,-9.1243e-06,-3.1039,-7.3039,-9.2476e-06,981,1008
-3.7021,-10.895,2.95,-3.7022,-10.694,2.95,5674,5690
-3.6979,-12.116,2.95,-3.7019,-11.898,2.95,5537,5561
-3.2838,-14.898,2.95,-3.5009,-14.503,2.95,5293,5325
-6.4557,-16.282,1.7004,-6.4557,-16.282,2.099,4041,4421
-0.23333,-11.762,0.81823,-0.17219,-11.777,0.83109,3272,3273
-1.7036,-11.099,2.95,-1.5033,-11.098,2.95,5656,5657
-6.4549,-5.4979,2.6963,-6.4549,-5.296,2.6936,5174,5176
-3.5017,-14.487,-1.3817e-05,-3.3797,-14.118,-2.0856e-05,112,145
-6.4399,-9.0985,2.3745,-6.4398,-8.9218,2.3745,4732,4733
1.5045,-7.7009,0.00010617,1.6957,-7.7004,0.00010216,2172,2173
-8.2974,-9.5003,2.95,-8.2931,-9.2992,2.95,5924,5985
-2.5019,-9.0998,4.6929e-05,-2.3032,-9.1002,4.6412e-05,1898,1899
-4.5043,-15.312,2.95,-4.3028,-15.306,2.95,5252,5253
-4.2982,-12.9,-1.8433e-05,-4.2989,-12.491,-2.7695e-05,236,278
-8.2702,-4.0759,-5.3574e-05,-8.1325,-3.8982,-5.3634e-05,1286,1305
-2.7038,-7.5037,-9.0899e-06,-2.5011,-7.6993,4.9192e-05,982,2152
-6.4541,-8.0873,1.8937,-6.4551,-8.0842,2.1,4347,4532
-10.882,-8.0987,2.95,-10.691,-7.981,2.95,6287,6329
-0.90338,-9.2987,-2.6647e-05,-0.71637,-9.299,4.1939e-05,771,1864
-7.1902,-1.8954,2.95,-7.1894,-1.6977,2.95,7094,7122
-3.574,-13.031,0.30417,-3.5739,-13.03,0.50131,2533,2749
-8.2702,-4.0759,-5.3574e-05,-8.5,-3.701,-5.6062e-05,1286,1323
-5.4988,-11.297,-1.8246e-05,-5.4989,-11.096,-1.8552e-05,407,432
-6.4557,-16.283,2.6977,-6.4508,-16.456,2.8879,4998,5211
-6.4547,-2.5009,1.0993,-6.4547,-2.5014,1.4998,3650,4023
